Decan,Keyword,Zodiacal Position,Planet,Sephirah,Page,Influence,Places,Materials,Spell
Agchoniôn,Sound,Aquarius 3rd,Venus,Netzach,60,"Noise, music, hearing, meaningless sound.","Sonar stations, opera and concert houses, wind tunnels or narrow canyons, echo chambers.","Bat’s ears, dolphin blood, recording tape, seashells, theremin music, parrot feathers, glass shattered by sound, bright yellow-green.",
Akhouiy,Fortune,Pisces 1st,Jupiter,Hod,60,"Indolence, drift, ease, luck, dumb luck, going with the flow.","Casinos, resort hotels, some taverns, much of Faërie, fountains (with coins), wishing wells.","Four-leaf clovers, rabbits’ feet, upright horseshoes, beer, dice, stones with water-eroded holes through them, the small bone of a sheep’s head, honey, deep orange.",Fortunate Son (Ruling)
Akton,Corruption,Scorpio 3rd,Moon,Netzach,60,"Corruption, debauchery, sin, both the joys and ravages.","Alcoholic wards, whorehouses, crack dens, certain temples in North Africa, slave markets, the edge of the Abyss.","Vomit, maggots, vitriol, cocaine, wormwood, venereal pus, pale yellow.",Confess thy Sins (Knowing) OR Forgiveness (Shielding)
Alath,Stasis,Libra 3rd,Mercury,Chesed,60,"Satiety, comfort, rest, boredom, stagnation, dampening.","Old-age homes, cold deserts, still tarns, ghost towns, a select London gentlemen’s club.","Tortoiseshell, square and cuboid shapes, arsenic, ether, morphia or heroin, deep wine-purple.",Rest for the Wicked (Ruling)
Alleborith,Meta,Capricorn 3rd,Mercury,Chesed,61,"Magic at its purest, isolated, active magic, magical transmission.","Magical laboratories, pentacles, places of power, ley intersections, mana upwellings, Atlantis.","Mandrake root, orichalcum, azoth, pyramid shapes, black cat whiskers, water from Atlantis, green moonstones, pineal glands, bright azure.",Flows Revealed (Unveiling)
Anatreth,Movement,Sagittarius 1st,Jupiter,Hod,61,"Movement, evolution, progress, and speed (fast or slow), mainly physical.","Tornadoes, airports, speedways or freeways, lightning strikes, bullet-trains and their tracks.","Arrows, bullets, fulgurites, cobra venom, hawk or osprey feathers, methamphetamine, henbane, violet.",Seven-League Steps (Perfecting)
Anostêr,Impossibility,Capricorn 2nd,Venus,Binah,61,"That which cannot be done, cannot be known, the impossible, the unnameable, the reverse face of knowledge and skill, the void that preceded creation.","Some peculiar rings of stone in New England, an isolated atoll in the Pacific, a mirage city in the Arabian desert, a hot spring beneath Antarctica.","The noise of a cat’s passage, books never written, blood from a stone, imperceptible colors.",
Arôtosael,Making and Breaking,Aries 3rd,Jupiter,Chesed,61,The cycle of making and destroying in all its facets.,"Decisive battlefields, particle accelerators, chemical or alchemical laboratories, blacksmith shops, beehives, new forests, the Sargasso Sea.","Ram’s horn (and anything else in a Fibonacci spiral), flint, clay, radioactives, E above high C, hammers, sage, murex dye or anything else reddish-purple",Dust to Dust (Unraveling)
Atrax,Food,Virgo 1st,Mercury,Malkuth,62,"Nourishment, inner strength through sustenance, health and decay in the long term.","Supermarkets, bazaars, farmland, compost heaps, restaurants, gas stations, granaries, some fields in Sicily and Egypt.","Bread, salt, woman’s hair, storax, saliva, fertilizer, peridots, light yellowish-tan.",Wondrous Fare (Patterning)
Axiôphêth,Togetherness,Sagittarius 3rd,Sun,Malkuth,62,"Gravity, weight, mass, forces holding things in place, oppression for its own sake.","Underneath tons of rock, sun-baked desert flats, labor camps, prisons, sweatshops, particularly oppressive cubicle farms, slave galleys, certain mountains in the Pamirs.","Lead chains, iron weights, ballast from a ship that has traveled around the world, depleted uranium, indigo.",Shake off the Chains (Fraying)
Barsafael,What lies behind,Aries 2nd,Sun,Binah,62,"Hidden truth, subconscious mind, primal unconfessed emotions and unknown strengths","Deep beneath the ocean or in hidden caves, cities unknown to mankind, dinosaur burial grounds, fragmentary worlds long forgotten, very old mountaintops in the Appalachians, limestone sinkholes in upper Quebec.","Ambergris, petroleum, white noise, artesian water, taproots of plants, “U” shapes, crimson.",
Belbel,Pain,Gemini 2nd,Venus,Yesod,63,"Pain, torment, sharpness, shadow, shock, loss, vengeful dead.","Torture chambers, death camps, deep in the rain- forests where sunlight never falls, widows’ walks, the shadow-burns in Hiroshima and Nagasaki, the edges of the Abyss. ","Funeral crepe, surgical steel, rust, ammonia, neurotoxins, dried blood, nettles, purple so dark that it appears black.",(Shielding)
Bianakith,Body,Pisces 3rd,Mars,Malkuth,63,"The human body and mind, the template of humanity.","Crowded cities, human-scale statuary, portrait galleries, gymnasia.","Lungwort, liverwort, elm, river clay, human blood or skin, starfish, GI Joe or Barbie doll or any other idealized poppet, ivory.",Goliath (Perfecting)
Buldumêch,Wealth,Virgo 3rd,Venus,Malkuth,63,"Wealth, treasure, gold, finance, greed.","Banks, stock market floors, gold mines, customs houses, money changers, jewelers, treasure troves.","Money, anything expensive and hoarded, jackdaw or magpie feathers, cowrie shells, sapphires, toad venom, gold.",All that Glitters  (Knowing)
Charchnoumis,Animal,Cancer 2nd,Mars,Binah,63,"Animals, bestial thoughts and instincts, shape-shifting","Zoos, slaughterhouses, nature preserves, forests, fresh animal tracks or kills, watering holes, Mount Ararat.","Fresh animals’ blood or skin, bloodstones, fresh game spoor, hunters’ weapons, civet musk, hunting-horn music, anything dark blood-red.","Hear me, my Kin (Ruling)"
Eneuth,Fire,Sagittarius 2nd,Mars,Yesod,63,"Fire and it's metaphorical equivalents: inspiration, lust, war, demagoguery.","Bonfires, firestorms, tropical or subtropical deserts at midday, war-torn lands to the south, lava flows, magmatic caverns, the Plane of Fire.","Obsidian, asbestos, sulfur, fire opals, sodium, magnesium, rocket fuel, ash-wood wands, cones, olibanum, garlic, mustard, cayenne pepper, orange-yellow.",Fireball (Fraying)
Harpax,Plant,Capricorn 1st,Saturn,Chokmah,67,"Plants, all things green and growing, both harmful and healing.","Sacred groves, rainforests, algal pools, weed-ridden croplands, hedge mazes.","Green jade, holly, cedar, woodwind music, amanita mushrooms, ivy, coral, forest green.",Wild Growth (Perfecting)
Hephesimereth,Void,Aquarius 1st,Saturn,Geburah,67,"Nothingness, defeat, emptiness, loss.","Open abandoned pits, former cemeteries with the bodies disinterred, frozen Antarctic desert, the intergalactic vacuum, places where the ground has been sown with salt.","Dead batteries, dust from an abandoned house, ashes, mistletoe, no color.",
Ieropaêl,Earth,Virgo 2nd,Saturn,Yesod,67,"Earth, soil, rock, the very concept of physicality.","Mountain caves, volcanoes, upthrust crags, grav- el beds and quarries, city parks, fertile land in the north, the Plane of Earth.","Quartz, talc, slate, oak, lichen, worms, narcissus, orbs, dark brown.",Shape Stone (Ruling)
Isrö,Air,Aquarius 2nd,Jupiter,Tiphareth,67,"Air, a breeze or a storm,  and it's metaphorical equivalents: the lightning strike of genius, airy chatter. ","Windstorms, steppes, inside or atop clouds, on balloons or airships, cities atop plateaus in the east, the Plane of Air.","Eagle feathers, chalcedony, galbanum, white orchids, helium, bird-bone knives, aspen, pink-white.",
Iudal,Gate,Taurus 2nd,Mercury,Tiphareth,67,"Boundaries, roads, portals, rivers, bridges, and other liminal and transitional thoughts and things. Time, distance and measurement.","Bridges, crossroads, doorways (especially post- and-lintel ones), boundary markers, rivers, interdimensional gates, outdoors during an eclipse, grandfather clocks.","Keys, two-headed coins, juniper, alexandrites, tobacco, hollow bones, chalk, mirrors, rose-madder, cesium, cornmeal, amber.",Teleport (Patterning)
Kumeatêl,Hidden,Leo 2nd,Jupiter,Tiphareth,67,"The ace up the sleeve, secrets, murmurs, aspects of codes, glyphs and runes.","Secret laboratories or military bases, hidden rooms or passages, labyrinths, lost cities, conspiratorial fast- nesses, pocket dimensions, certain university libraries.","Artifacts with secrets, the number 13, walnuts, handcuffs, Christmas wrapping ribbon, silk cord, knots with hidden ends, rose (both the flower and the color).",
Kurtaêl,Necromancy,Gemini 3rd,Saturn,Malkuth,68,"Death, fear, decay and disease, the undead.","Graveyards, terminal wards of hospitals, ruined buildings where people have died, plague pits, tombs, marshes, necromantic altars in Haiti, Transylvania, and elsewhere.","Rowan, cypress, myrrh, contaminated syringes, rats, yew, hellebore, onyx, ebony, jet, pitch, any- thing black.",
Marderô,Resistance,Libra 2nd,Saturn,Binah,68,"Rebellion, anger against injustice, violence from fear of chaos and disorder. Mutations, changes born of crisis, opportune disaster.","Revolutionary battlefields or massacres, police stations, some government buildings, meteor craters, disaster sites.","Hammers, sickles, human blood, pepper, tear gas, axes, five-pointed stars (but not pentagrams), gunpowder, rhino hide, white-flecked azure.",Incite (Compelling or Ruling)
Methiax,Illusion and Creation,Cancer 1st,Moon,Chokmah,68,"True creation, form, shapes reality and dreams, some shape-shifting","Artist’s studios, movie theaters and movie sets, counterfeiter’s dens, certain very old vineyards in Greece and Turkey, hallucinations and hallucinogenic spaces, induced dream states, Faërie, copy centers and scriptoria.","Pyrites, zircons, flashbulbs, eggs, pomegranate seeds, fractals, holograms, hallucinogens, fog, or any- thing gray.",
Naôth,Communication and Empathy,Libra 1st,Venus,Chokmah,68,"Communication, language, imagery, symbolism, and teaching","Radio stations, printers, shared telepathic experiences, shared or archetypal dream states, universities, a few select bars, certain bookshops in London and Paris.","Vervain, bay leaves, “V” shapes, stringed instruments or their strings, blue-gray.",Tongues (Knowing?)
Nefthada,Pleasure,Scorpio 2nd,Jupiter,Tiphareth,69,"Pleasure and delight, thrills both physical and mental, the perfect moment.","Almost nowhere, save for perfect moments in time or space; some English and Japanese gardens achieve correspondence with Nefthada on a continuing basis, as do a very few building interiors.","Champagne, star sapphires, silk or satin fab- rics, morning dew, pure oxygen, bright green.",Eternal Moment
Ouare,Technology,Taurus 3rd,Saturn,Netzach,69,"Constructs, machines, alloys, and vehicles. Some golems and revenants.","Garages, metallurgical laboratories, inside moving vehicles, virtual-reality matrices, the Autobahn","Gears and clockwork, plastic, microchips, brass, aluminum, olive-green, any artificial dye such as aniline.",
Phoubêl,Light and Darkness,Leo 1st,Sun,Geburah,69,"Light and darkness, one requiring the other. Vision, blindness, and irreconcilable conflict.","Tropical beaches, outdoors at sunrise or sunset, tanning salons, cathedrals, stone circles, fireworks shows","Heliotropes and other tropical flowers, flash- lights, cinnamon, “X” or cross shapes, laurel and hazelwood, black-and-white (or black-and-red) checkerboard patterns.",Light (Compelling) or Darksight (Unveiling)
Phthenoth,Healing,Pisces 2nd,Moon,Yesod,69,"Cleansing, restoration, and healing both physical and metaphorical, of body and spirit.","Hospitals, the island of Cos, spring meadows after a rain, arches, Avalon.","Balm, pure water, apples, watered wine, chicken soup, potash, Greek (“+”) crosses, lavender",Greater Restoration (Patterning)
Roêlêd,Protection and Warning,Leo 3rd,Mars,Netzach,70,"Strong walls, thorns, antibiotics, defense, guardianship, alertness, preparation, wisdom of experience, danger-sense","Anywhere under surveillance or an electric-eye grid, castles and fortresses, missile silos and radar stations, firebreaks, guardhouses.","Owl or raven feathers, oxhide, “M” shapes, dragon’s blood, unicorn horn, sirens and alarms, dog barks, tiger lilies, Kevlar, chain links, bronze (both the metal and the color).",
Ruax,Mind,Aries 1st,Mars,Chokmah,70,"Will, perception, sanity, drunkenness, hotter emotions, sleep, the phenomena of dreams.","Television studios or showrooms, hypnosis clinics or performances, drug parlors and opium dens, asylums, personal dreamscapes, memory palaces, certain lamaseries in Central Asia.","Cathode-ray tubes, spirals, poppies, down- ward-pointing arrows, cerulean blue.",
Sahu,Wilds,Taurus 1st,Venus,Geburah,70,"Concepts and activities such as archery, hunting and herding, and the wilds they take place in.","Mountainsides, the walls of Mycenae and Machu Picchu, the Kenyan high veldt, imposing statues or stone structures such as Mount Rushmore or the Sphinx and Pyramids of Giza.","Basalt, sequoia wood, subsonics, arrowheads, sinew, fresh animal blood, opals, anything red and black.",Find the Path (Knowing)
Saphathoraél,Water,Cancer 3rd,Venus,Chesed,71,"Water, liquids and their conceptual counterparts. That which flows easily or is hard to pin down.","Oceans, lakes, ships, reservoirs, wells and oases, ice rinks, sewers, islands to the west, the Plane of Water, the Pearl-Bright Ocean.","Fish, the blood of drowned men, aquamarines and beryls, pearls, teardrop shapes, chalices, lotuses, ferns, kelp, Irish whiskey, the color blue.",
Sphandôr,Knowledge,Gemini 1st,Mercury,Hod,71,"The sensorium, intellect, passive knowledge, intuition, divination.","Computer rooms, hexagonal spaces, paintings or images of eyes, theatrical stages (especially the Globe), libraries (especially Alexandria).","Agates and cat’s eyes, musk, hexagons, fennel, ringing bells, russet-red.",Something for my research
Tepsisem,Beauty,Scorpio 1st,Mars,Geburah,71,"Beauty and its loss, transience and impermanence, steady diminution.","Museums, art auction houses, badly maintained (but once attractive) buildings, eroding statues.","Works of art, rouge, acid rain, faded photographs, broken mirrors, velvet, sandalwood, cut hibiscus or lilies, scarlet.",
